[Lua] scenario_init: no JSON decoder available (install lua-cjson or dkjson). Using defaults.
Plant-only validator
dt=0.0100 s, duration=20.00 s, steps=2000
Scenario: Lua+JSON
Columns: t  x  y  yaw_deg  v_mps  steer_deg  fl_deg  fr_deg  motor_nm  brake_pct
3.61  31.89  27.40  33.93  18.64  -9.82  -9.37  -10.32  1200  0.0
3.71  33.47  28.41  31.24  18.90  -9.98  -9.51  -10.50  1200  0.0
3.81  35.12  29.37  28.58  19.15  -9.98  -9.51  -10.50  1200  0.0
3.91  36.83  30.25  25.96  19.40  -9.82  -9.37  -10.32  1200  0.0
4.01  38.61  31.07  23.37  19.65  -9.51  -9.08  -9.98  1200  0.0
4.11  40.44  31.82  20.81  19.89  -9.05  -8.66  -9.47  1200  0.0
4.21  42.32  32.49  18.28  20.13  -8.44  -8.10  -8.81  1200  0.0
4.31  44.26  33.09  15.79  20.37  -7.71  -7.42  -8.01  1200  0.0
4.41  46.24  33.61  13.32  20.60  -6.85  -6.62  -7.09  1200  0.0
4.51  48.27  34.05  10.88  20.83  -5.88  -5.71  -6.05  1200  0.0
4.61  50.33  34.41  8.47  21.06  -4.82  -4.70  -4.94  1200  0.0
4.71  52.43  34.68  6.08  21.29  -3.68  -3.61  -3.75  1200  0.0
4.81  54.56  34.87  3.85  21.51  -2.49  -2.46  -2.52  1200  0.0
4.91  56.72  34.98  2.45  21.73  -1.25  -1.25  -1.26  1200  0.0
5.01  58.91  35.07  2.01  21.95  -0.00  0.00  0.00  1200  0.0
5.11  61.11  35.15  2.55  22.16  1.25  1.26  1.25  1200  0.0
5.21  63.34  35.27  4.09  22.37  2.49  2.52  2.46  1200  0.0
5.31  65.58  35.47  6.32  22.59  3.68  3.75  3.61  1200  0.0
5.41  67.83  35.76  8.55  22.79  4.82  4.94  4.70  1200  0.0
5.51  70.09  36.14  10.76  23.00  5.88  6.05  5.71  1200  0.0
5.61  72.35  36.61  12.94  23.20  6.85  7.09  6.62  1200  0.0
5.71  74.61  37.17  15.11  23.41  7.71  8.01  7.42  1200  0.0
5.81  76.87  37.83  17.26  23.61  8.44  8.81  8.10  1200  0.0
5.91  79.12  38.57  19.40  23.80  9.05  9.47  8.66  1200  0.0
6.01  81.37  39.40  21.51  24.00  9.51  9.98  9.08  1200  0.0
6.11  83.59  40.32  23.61  24.19  9.82  10.32  9.37  1200  0.0
6.21  85.80  41.33  25.69  24.39  9.98  10.50  9.51  1200  0.0
6.31  87.99  42.43  27.76  24.58  9.98  10.50  9.51  1200  0.0
6.41  90.16  43.61  29.81  24.76  9.82  10.32  9.37  1200  0.0
6.51  92.30  44.88  31.84  24.95  9.51  9.98  9.08  1200  0.0
6.61  94.40  46.24  33.86  25.14  9.05  9.47  8.66  1200  0.0
6.71  96.48  47.68  35.87  25.32  8.44  8.81  8.10  1200  0.0
6.81  98.51  49.20  37.86  25.50  7.71  8.01  7.42  1200  0.0
6.91  100.51  50.80  39.83  25.68  6.85  7.09  6.62  1200  0.0
7.01  102.46  52.48  41.80  25.86  5.88  6.05  5.71  1200  0.0
7.11  104.37  54.24  43.74  26.04  4.82  4.94  4.70  1200  0.0
7.21  106.23  56.08  45.68  26.22  3.68  3.75  3.61  1200  0.0
7.31  108.04  57.99  47.60  26.39  2.49  2.52  2.46  1200  0.0
7.41  109.80  59.97  49.25  26.56  1.25  1.26  1.25  1200  0.0
7.51  111.53  62.00  49.79  26.73  0.00  0.00  0.00  1200  0.0
7.61  113.27  64.04  49.13  26.90  -1.25  -1.25  -1.26  1200  0.0
7.71  115.06  66.06  47.41  27.07  -2.49  -2.46  -2.52  1200  0.0
7.81  116.92  68.03  45.55  27.24  -3.68  -3.61  -3.75  1200  0.0
7.91  118.87  69.96  43.70  27.41  -4.82  -4.70  -4.94  1200  0.0
8.01  120.88  71.83  41.86  27.57  -5.88  -5.71  -6.05  1200  0.0
8.11  122.97  73.64  40.03  27.74  -6.85  -6.62  -7.09  1200  0.0
8.21  125.13  75.40  38.21  27.90  -7.71  -7.42  -8.01  1200  0.0
8.31  127.35  77.10  36.40  28.06  -8.44  -8.10  -8.81  1200  0.0
8.41  129.64  78.74  34.61  28.22  -9.05  -8.66  -9.47  1200  0.0
8.51  131.99  80.31  32.82  28.38  -9.51  -9.08  -9.98  1200  0.0
8.61  134.40  81.82  31.04  28.54  -9.82  -9.37  -10.32  1200  0.0
8.71  136.88  83.26  29.28  28.69  -9.98  -9.51  -10.50  1200  0.0
8.81  139.41  84.64  27.52  28.85  -9.98  -9.51  -10.50  1200  0.0
8.91  141.99  85.94  25.77  29.00  -9.82  -9.37  -10.32  1200  0.0
9.01  144.63  87.17  24.03  29.16  -9.51  -9.08  -9.98  1200  0.0
9.11  147.31  88.32  22.30  29.31  -9.05  -8.66  -9.47  1200  0.0
9.21  150.05  89.40  20.58  29.46  -8.44  -8.10  -8.81  1200  0.0
9.31  152.83  90.40  18.87  29.61  -7.71  -7.42  -8.01  1200  0.0
9.41  155.65  91.32  17.16  29.76  -6.85  -6.62  -7.09  1200  0.0
9.51  158.51  92.17  15.47  29.91  -5.88  -5.71  -6.05  1200  0.0
9.61  161.41  92.93  13.78  30.06  -4.82  -4.70  -4.94  1200  0.0
9.71  164.35  93.61  12.10  30.20  -3.68  -3.61  -3.75  1200  0.0
9.81  167.32  94.20  10.43  30.35  -2.49  -2.46  -2.52  1200  0.0
9.91  170.32  94.71  8.82  30.49  -1.25  -1.25  -1.26  1200  0.0
10.01  173.34  95.16  8.20  30.63  -0.00  0.00  0.00  1200  0.0
10.11  176.38  95.61  8.96  30.78  1.25  1.26  1.25  1200  0.0
10.21  179.42  96.13  10.59  30.92  2.49  2.52  2.46  1200  0.0
10.31  182.46  96.74  12.22  31.06  3.68  3.75  3.61  1200  0.0
10.41  185.49  97.44  13.84  31.20  4.82  4.94  4.70  1200  0.0
10.51  188.52  98.22  15.46  31.34  5.88  6.05  5.71  1200  0.0
10.61  191.53  99.10  17.07  31.47  6.85  7.09  6.62  1200  0.0
10.71  194.54  100.06  18.67  31.61  7.71  8.01  7.42  1200  0.0
10.81  197.53  101.12  20.27  31.75  8.44  8.81  8.10  1200  0.0
10.91  200.50  102.26  21.86  31.88  9.05  9.47  8.66  1200  0.0
11.01  203.45  103.48  23.44  32.02  9.51  9.98  9.08  1200  0.0
11.11  206.38  104.80  25.02  32.15  9.82  10.32  9.37  1200  0.0
11.21  209.28  106.19  26.59  32.28  9.98  10.50  9.51  1200  0.0
11.31  212.16  107.68  28.15  32.42  9.98  10.50  9.51  1200  0.0
11.41  215.00  109.25  29.71  32.55  9.82  10.32  9.37  1200  0.0
11.51  217.81  110.90  31.26  32.68  9.51  9.98  9.08  1200  0.0
11.61  220.59  112.63  32.81  32.81  9.05  9.47  8.66  1200  0.0
11.71  223.33  114.44  34.34  32.94  8.44  8.81  8.10  1200  0.0
11.81  226.04  116.34  35.88  33.06  7.71  8.01  7.42  1200  0.0
11.91  228.70  118.31  37.40  33.19  6.85  7.09  6.62  1200  0.0
12.01  231.32  120.36  38.92  33.32  5.88  6.05  5.71  1200  0.0
12.11  233.89  122.49  40.44  33.44  4.82  4.94  4.70  1200  0.0
12.21  236.41  124.70  41.95  33.57  3.68  3.75  3.61  1200  0.0
12.31  238.89  126.98  43.45  33.69  2.49  2.52  2.46  1200  0.0
12.41  241.31  129.33  44.95  33.82  1.25  1.26  1.25  1200  0.0
12.51  243.69  131.74  45.63  33.94  0.00  0.00  0.00  1200  0.0
12.61  246.08  134.16  44.80  34.06  -1.25  -1.25  -1.26  1200  0.0
12.71  248.53  136.53  43.32  34.18  -2.49  -2.46  -2.52  1200  0.0
12.81  251.05  138.86  41.84  34.31  -3.68  -3.61  -3.75  1200  0.0
12.91  253.63  141.12  40.37  34.43  -4.82  -4.70  -4.94  1200  0.0
13.01  256.29  143.32  38.90  34.55  -5.88  -5.71  -6.05  1200  0.0
13.11  259.01  145.46  37.44  34.66  -6.85  -6.62  -7.09  1200  0.0
13.21  261.79  147.54  35.98  34.78  -7.71  -7.42  -8.01  1200  0.0
13.31  264.63  149.56  34.53  34.90  -8.44  -8.10  -8.81  1200  0.0
13.41  267.53  151.51  33.09  35.02  -9.05  -8.66  -9.47  1200  0.0
13.51  270.49  153.39  31.64  35.13  -9.51  -9.08  -9.98  1200  0.0
13.61  273.51  155.20  30.21  35.25  -9.82  -9.37  -10.32  1200  0.0
13.71  276.58  156.94  28.77  35.37  -9.98  -9.51  -10.50  1200  0.0
13.81  279.71  158.61  27.35  35.48  -9.98  -9.51  -10.50  1200  0.0
13.91  282.88  160.21  25.92  35.59  -9.82  -9.37  -10.32  1200  0.0
14.01  286.11  161.73  24.50  35.71  -9.51  -9.08  -9.98  1200  0.0
14.11  289.38  163.18  23.09  35.82  -9.05  -8.66  -9.47  1200  0.0
14.21  292.69  164.55  21.68  35.93  -8.44  -8.10  -8.81  1200  0.0
14.31  296.05  165.85  20.27  36.04  -7.71  -7.42  -8.01  1200  0.0
14.41  299.45  167.06  18.87  36.15  -6.85  -6.62  -7.09  1200  0.0
14.51  302.89  168.19  17.48  36.26  -5.88  -5.71  -6.05  1200  0.0
14.61  306.37  169.25  16.08  36.37  -4.82  -4.70  -4.94  1200  0.0
14.71  309.88  170.22  14.70  36.48  -3.68  -3.61  -3.75  1200  0.0
14.81  313.42  171.11  13.31  36.59  -2.49  -2.46  -2.52  1200  0.0
14.91  317.00  171.91  11.93  36.70  -1.25  -1.25  -1.26  1200  0.0
15.01  320.60  172.64  11.20  36.81  -0.00  0.00  0.00  1200  0.0
15.11  324.22  173.37  12.07  36.92  1.25  1.26  1.25  1200  0.0
15.21  327.82  174.19  13.44  37.02  2.49  2.52  2.46  1200  0.0
15.31  331.42  175.09  14.80  37.13  3.68  3.75  3.61  1200  0.0
15.41  335.00  176.08  16.16  37.23  4.82  4.94  4.70  1200  0.0
15.51  338.58  177.15  17.52  37.34  5.88  6.05  5.71  1200  0.0
15.61  342.13  178.31  18.87  37.44  6.85  7.09  6.62  1200  0.0
15.71  345.66  179.57  20.22  37.55  7.71  8.01  7.42  1200  0.0
15.81  349.18  180.90  21.57  37.65  8.44  8.81  8.10  1200  0.0
15.91  352.67  182.32  22.91  37.75  9.05  9.47  8.66  1200  0.0
16.01  356.14  183.83  24.25  37.85  9.51  9.98  9.08  1200  0.0
16.11  359.58  185.43  25.58  37.96  9.82  10.32  9.37  1200  0.0
16.21  362.99  187.10  26.91  38.06  9.98  10.50  9.51  1200  0.0
16.31  366.37  188.86  28.24  38.16  9.98  10.50  9.51  1200  0.0
16.41  369.72  190.71  29.56  38.26  9.82  10.32  9.37  1200  0.0
16.51  373.03  192.63  30.88  38.36  9.51  9.98  9.08  1200  0.0
16.61  376.31  194.64  32.20  38.46  9.05  9.47  8.66  1200  0.0
16.71  379.54  196.72  33.51  38.56  8.44  8.81  8.10  1200  0.0
16.81  382.74  198.89  34.82  38.66  7.71  8.01  7.42  1200  0.0
16.91  385.90  201.13  36.13  38.75  6.85  7.09  6.62  1200  0.0
17.01  389.01  203.45  37.43  38.85  5.88  6.05  5.71  1200  0.0
17.11  392.07  205.85  38.73  38.95  4.82  4.94  4.70  1200  0.0
17.21  395.09  208.32  40.03  39.04  3.68  3.75  3.61  1200  0.0
17.31  398.06  210.86  41.32  39.14  2.49  2.52  2.46  1200  0.0
17.41  400.97  213.48  42.61  39.24  1.25  1.26  1.25  1200  0.0
17.51  403.84  216.16  43.37  39.33  0.00  0.00  0.00  1200  0.0
17.61  406.72  218.85  42.49  39.42  -1.25  -1.25  -1.26  1200  0.0
17.71  409.66  221.49  41.20  39.52  -2.49  -2.46  -2.52  1200  0.0
17.80  412.36  223.81  40.05  39.60  -3.56  -3.50  -3.63  1200  0.0
17.90  415.42  226.33  38.78  39.70  -4.71  -4.60  -4.82  1200  0.0
18.00  418.54  228.79  37.51  39.79  -5.78  -5.61  -5.95  1200  0.0
18.10  421.72  231.18  36.24  39.88  -6.75  -6.53  -6.99  1200  0.0
18.20  424.97  233.51  34.97  39.97  -7.62  -7.35  -7.92  1200  0.0
18.30  428.27  235.77  33.71  40.07  -8.38  -8.04  -8.74  1200  0.0
18.40  431.63  237.97  32.44  40.16  -8.99  -8.61  -9.41  1200  0.0
18.50  435.04  240.09  31.19  40.25  -9.47  -9.05  -9.94  1200  0.0
18.60  438.51  242.14  29.93  40.34  -9.80  -9.35  -10.30  1200  0.0
18.70  442.03  244.12  28.68  40.43  -9.97  -9.50  -10.49  1200  0.0
18.80  445.60  246.03  27.43  40.52  -9.99  -9.52  -10.51  1200  0.0
18.90  449.22  247.86  26.18  40.61  -9.85  -9.39  -10.35  1200  0.0
19.00  452.89  249.62  24.94  40.70  -9.55  -9.12  -10.02  1200  0.0
19.10  456.60  251.30  23.70  40.78  -9.10  -8.71  -9.53  1200  0.0
19.20  460.35  252.91  22.46  40.87  -8.51  -8.17  -8.88  1200  0.0
19.30  464.15  254.43  21.22  40.96  -7.78  -7.50  -8.10  1200  0.0
19.40  467.99  255.88  19.99  41.05  -6.94  -6.71  -7.18  1200  0.0
19.50  471.86  257.25  18.76  41.13  -5.98  -5.81  -6.16  1200  0.0
19.60  475.77  258.53  17.53  41.22  -4.93  -4.81  -5.05  1200  0.0
19.70  479.72  259.74  16.30  41.30  -3.80  -3.73  -3.87  1200  0.0
19.80  483.70  260.86  15.08  41.39  -2.61  -2.57  -2.64  1200  0.0
19.90  487.71  261.90  13.86  41.48  -1.38  -1.37  -1.39  1200  0.0
20.00  491.75  262.86  12.98  41.56  -0.13  -0.13  -0.13  1200  0.0
Done.
